date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-04-14,16.2,7.22,7.75,-0.7,,-4,51,32.8,32.5,14,-7.3,-9.5,-9.3,-11.4,13,7.58,7.5,2,,,103.25,103.01,102.99,102.73,95.08,94.88,94.87,94.65,,,,,4,2.9,3.1,2.3,10.2,0,2.8,0.8,0,0,,,,06:36:00,20:32:00,13.93,6.6,20.53,5,5,14,14,-2,-1,,,,,,,,,,,,,
2021-04-13,9.7,3.1,2.39,-4.9,,-7,83,50,54.5,26,-5.4,-7.7,-7.7,-10,18,10.42,9.5,1,32,15,103.85,103.61,103.56,103.28,95.56,95.37,95.33,95.11,,,,,3.3,2.9,2.9,2.5,15.6,0,0,0,0,0,,,,06:38:00,20:30:00,13.87,6.63,20.5,5,5,9,9,-6,-5,,,,,,,,,,,,,
2021-04-12,5.8,0.11,0.35,-5.1,,-7,89,67.9,63,37,-2.5,-5.7,-5.8,-9.1,16,7.17,8.5,1,,,103.85,103.65,103.52,103.2,95.56,95.36,95.24,94.93,,,,,3.4,2.5,2.7,2,17.6,0,0,0,0,0,,,6,06:41:00,20:29:00,13.8,6.68,20.48,5,5,4,4,-9,-7,,,,,,,,,,,,,
2021-04-11,3.1,-2.11,-0.8,-4.7,,-10,95,79.4,77.5,60,-4.3,-5.3,-5.2,-6,19,9.88,12,5,33,33,103.15,102.74,102.67,102.18,94.87,94.51,94.46,94.04,,,,,2.9,2,2.3,1.7,18.8,0,0,0,0,0.2,,,8,06:43:00,20:27:00,13.73,6.72,20.45,3,4,3,5,-7,-6,,,,,,,,,,,,,
2021-04-10,8.2,0.89,2.19,-3.8,,-10,97,67,68.5,40,-0.3,-5.2,-5.1,-9.9,28,17.12,15.5,3,51,30,102.09,100.83,101.13,100.18,93.97,92.83,93.11,92.25,,,,,3.3,2.4,2.5,1.7,15.8,0,0,0,0,1.8,,,,06:45:00,20:25:00,13.67,6.75,20.42,2,3,7,7,-4,-3,,,,,,,,,,,,,
2021-04-09,13.1,4.98,5.55,-2,,-5,66,39.8,43,20,-5.2,-8.8,-8.4,-11.6,14,8.88,7.5,1,41,14,101.61,100.86,100.91,100.21,93.48,92.86,92.89,92.31,,,,,3.2,2.6,2.6,2.1,12.4,0,0.6,0,0,0,,,,06:48:00,20:23:00,13.58,6.8,20.38,4,5,12,12,-1,0,,,,,,,,,,,,,
2021-04-08,6.9,3.34,3.1,-0.7,,,87,50.3,56,25,-0.7,-7,-7.2,-13.7,28,16.75,15,2,47,31,101.69,101.59,101.59,101.48,93.6,93.57,93.57,93.54,,,,,2.8,2.3,2.4,1.9,14.9,0,0,0,0,0,,,,06:50:00,20:21:00,13.52,6.83,20.35,4,4,8,8,-3,-2,,,,,,,,,,,,,
2021-04-07,15.3,7.85,8.55,1.8,,,59,43.6,42,25,-0.3,-4.4,-3.1,-5.9,24,12.67,15,6,36,34,,,,,,,,,,,,,3.2,3,3,2.7,9.4,0,3.5,1.6,0,0,,,,06:52:00,20:19:00,13.45,6.87,20.32,3,4,14,14,2,2,,,,,,,,,,,,,
2021-04-06,13.4,7.67,7.5,1.6,,,58,40,43,28,-4.5,-5.5,-5.6,-6.7,12,7.58,7.5,3,,,,,,,,,,,,,,,4.1,3.3,3.5,2.9,10.5,0,2.5,0.5,0,0,,,,06:55:00,20:18:00,13.38,6.92,20.3,3,4,13,13,0,0,,,,,,,,,,,,,
2021-04-05,12.9,5.13,5.45,-2,,-4,84,48.4,52.5,21,-3.9,-6.5,-7,-10,20,9.33,10.5,1,37,27,,,,,,,,,,,,,3.7,2.7,3,2.3,12.6,0,0.4,0,0,0,,,,06:57:00,20:16:00,13.32,6.95,20.27,4,4,12,12,0,3,,,,,,,,,,,,,
